penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90006179554751,0,0
0.5,0.3080000000000001,0,True,Line Overloading,36.0,124.18858137369348,1,0
0.25,0.154,0,True,Transformer Overloading,0.0,129.52634817602873,2,0
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.79969823635649,3,0
0.0625,0.044,0,False,,,,4,0
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.76850761461465,5,0
0.078125,0.044,0,False,,,,6,0
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000371997863,0,1
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.42463009988901,1,1
0.25,0.154,0,True,Transformer Overloading,0.0,129.16599677067947,2,1
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.59914397228887,3,1
0.0625,0.044,0,False,,,,4,1
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.73151270929395,5,1
0.078125,0.044,0,False,,,,6,1
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90000720959972,0,2
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.5329061205046,1,2
0.25,0.154,0,True,Transformer Overloading,0.0,129.01007972386225,2,2
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.4314356325131,3,2
0.0625,0.044,0,False,,,,4,2
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.5961783425255,5,2
0.078125,0.044,0,False,,,,6,2
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89995831784566,0,3
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.41412325434897,1,3
0.25,0.154,0,True,Transformer Overloading,0.0,129.41059713211104,2,3
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.62862741452848,3,3
0.0625,0.044,0,False,,,,4,3
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.71320510572662,5,3
0.078125,0.044,0,False,,,,6,3
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89997714927267,0,4
0.5,0.3080000000000001,0,True,Line Overloading,36.0,109.97435708050209,1,4
0.25,0.154,0,True,Transformer Overloading,0.0,129.69791387125954,2,4
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.47899122249105,3,4
0.0625,0.044,0,False,,,,4,4
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.74240089181959,5,4
0.078125,0.044,0,False,,,,6,4
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89994098323635,0,5
0.5,0.3080000000000001,0,True,Line Overloading,36.0,103.90664393662013,1,5
0.25,0.154,0,True,Transformer Overloading,0.0,129.92417489630697,2,5
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.65959936983948,3,5
0.0625,0.044,0,False,,,,4,5
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.65416300882508,5,5
0.078125,0.044,0,False,,,,6,5
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90000314378793,0,6
0.5,0.3080000000000001,0,True,Line Overloading,36.0,111.30282036141406,1,6
0.25,0.154,0,True,Transformer Overloading,0.0,129.60030239283154,2,6
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.73548791588897,3,6
0.0625,0.044,0,False,,,,4,6
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.74753743008415,5,6
0.078125,0.044,0,False,,,,6,6
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89995519493797,0,7
0.5,0.3080000000000001,0,True,Line Overloading,36.0,117.56410105340522,1,7
0.25,0.154,0,True,Transformer Overloading,0.0,129.3157829088232,2,7
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.36227026466265,3,7
0.0625,0.044,0,False,,,,4,7
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.5618597643334,5,7
0.078125,0.044,0,False,,,,6,7
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90004945981568,0,8
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.7171487863687,1,8
0.25,0.154,0,True,Transformer Overloading,0.0,129.19231819539712,2,8
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.39592027852329,3,8
0.0625,0.044,0,False,,,,4,8
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.54714002656729,5,8
0.078125,0.044,0,False,,,,6,8
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8998793382817,0,9
0.5,0.3080000000000001,0,True,Line Overloading,36.0,116.60472547957848,1,9
0.25,0.154,0,True,Transformer Overloading,0.0,129.26853544271347,2,9
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.46469165045032,3,9
0.0625,0.044,0,False,,,,4,9
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.66287158037078,5,9
0.078125,0.044,0,False,,,,6,9
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89999014628341,0,10
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.76690659418784,1,10
0.25,0.154,0,True,Transformer Overloading,0.0,129.56352985341903,2,10
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.49496435343073,3,10
0.0625,0.044,0,False,,,,4,10
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.61983386263222,5,10
0.078125,0.044,0,False,,,,6,10
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000599667784,0,11
0.5,0.3080000000000001,0,True,Line Overloading,36.0,137.07003273306418,1,11
0.25,0.154,0,True,Transformer Overloading,0.0,130.1620799722982,2,11
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.98389515264716,3,11
0.0625,0.044,0,False,,,,4,11
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.92880584723892,5,11
0.078125,0.044,0,False,,,,6,11
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90000464145692,0,12
0.5,0.3080000000000001,0,True,Line Overloading,36.0,117.78423560666138,1,12
0.25,0.154,0,True,Transformer Overloading,0.0,129.47908869210252,2,12
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.48700708234293,3,12
0.0625,0.044,0,False,,,,4,12
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.71201814281574,5,12
0.078125,0.044,0,False,,,,6,12
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90004480316568,0,13
0.5,0.3080000000000001,0,True,Line Overloading,36.0,103.53464415791045,1,13
0.25,0.154,0,True,Transformer Overloading,0.0,129.51258895061423,2,13
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.69617260907197,3,13
0.0625,0.044,0,False,,,,4,13
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.73523434133698,5,13
0.078125,0.044,0,False,,,,6,13
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000013653245,0,14
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,172.00741819708,1,14
0.25,0.154,0,True,Transformer Overloading,0.0,129.36727793008086,2,14
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.37875726426465,3,14
0.0625,0.044,0,False,,,,4,14
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.5989327046624,5,14
0.078125,0.044,0,False,,,,6,14
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000958557662,0,15
0.5,0.3080000000000001,0,True,Line Overloading,36.0,104.03269649251969,1,15
0.25,0.154,0,True,Transformer Overloading,0.0,129.25699615325144,2,15
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.62178320472286,3,15
0.0625,0.044,0,False,,,,4,15
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.77970709169055,5,15
0.078125,0.044,0,False,,,,6,15
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89997887401935,0,16
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.02189792763464,1,16
0.25,0.154,0,True,Transformer Overloading,0.0,129.31076592752123,2,16
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.46388356368625,3,16
0.0625,0.044,0,False,,,,4,16
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.61984417575324,5,16
0.078125,0.044,0,False,,,,6,16
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90009364866268,0,17
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.43527386576548,1,17
0.25,0.154,0,True,Transformer Overloading,0.0,129.20788790675718,2,17
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.56843041577604,3,17
0.0625,0.044,0,False,,,,4,17
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.7845595762261,5,17
